pattern,risk_type,severity,plain_english_meaning,example_context
sole discretion,CONTROL,RED_FLAG,The other party can act unilaterally without your approval.,"Vendor may, in its sole discretion, suspend the Services at any time."
at its discretion,CONTROL,UNFAVORABLE,The other party can decide outcomes without your consent.,Provider may modify the deliverables at its discretion.
may change without notice,CONTROL,UNFAVORABLE,Terms can be altered without informing you first.,Terms may change without notice to Client.
may modify,CONTROL,UNFAVORABLE,The other party can alter obligations unilaterally.,Company may modify this Agreement from time to time.
reasonable discretion,CONTROL,WATCH,The scope of 'reasonable' is vague and could be stretched.,Fees may be adjusted at Provider’s reasonable discretion.
sole judgment,CONTROL,RED_FLAG,Only the other party decides what constitutes breach or compliance.,Breach shall be determined in Company’s sole judgment.
without prior approval,CONTROL,UNFAVORABLE,Actions can be taken affecting you without asking you first.,Subcontractors may be engaged without prior approval.
as determined by Company,CONTROL,UNFAVORABLE,Company alone defines key outcomes or metrics.,Acceptance shall be as determined by Company.
subject to company policies,CONTROL,WATCH,Undefined external policies can override the contract.,Use of Services is subject to Company policies.
may suspend,CONTROL,UNFAVORABLE,"Service can be paused unilaterally, affecting your operations.",Provider may suspend access for any reason.
"assigns all right, title, and interest",OWNERSHIP,RED_FLAG,You give up all ownership of deliverables forever.,"Contractor assigns all right, title, and interest in the Work Product."
work made for hire,OWNERSHIP,RED_FLAG,Everything you create belongs to the other party by default.,All Deliverables shall be considered a work made for hire.
exclusive license,OWNERSHIP,RED_FLAG,You cannot use the IP elsewhere because rights are exclusive.,Client grants Vendor an exclusive license to the Software.
irrevocable license,OWNERSHIP,RED_FLAG,You cannot revoke the other party’s usage rights.,Licensor grants an irrevocable license to use the Marks.
perpetual license,OWNERSHIP,RED_FLAG,Rights last forever with no end date.,Licensee receives a perpetual license to the Deliverables.
worldwide license,OWNERSHIP,UNFAVORABLE,"Rights extend to all jurisdictions, limiting your regional control.",Supplier is granted a worldwide license to reproduce content.
royalty-free license,OWNERSHIP,UNFAVORABLE,The other party pays no ongoing fees despite using your IP.,Client grants a royalty‑free license to all materials provided.
transfer of ownership,OWNERSHIP,RED_FLAG,Legal ownership moves permanently to the other party.,"Upon payment, transfer of ownership of source code shall occur."
all derivatives,OWNERSHIP,UNFAVORABLE,Future versions and spin‑offs also belong to the other party.,"Rights include all derivatives, adaptations, or enhancements."
moral rights waiver,OWNERSHIP,RED_FLAG,You waive personal rights to attribution or integrity of your work.,Contractor waives all moral rights in the Deliverables.
limitation of liability,LIABILITY,WATCH,Caps the damages you can claim if things go wrong.,In no event shall liability exceed the amount paid.
cap on damages,LIABILITY,WATCH,Sets a maximum amount you can recover.,Damages are capped at total fees paid during the prior 12 months.
consequential damages,LIABILITY,RED_FLAG,You cannot claim indirect losses like lost profits.,Neither party shall be liable for consequential damages.
